cunicah,eam_15,trh2b_15,trh4b_15
4,0,5, 
15,0,0, 
18,0,1, 
37,0,4, 
44,0,5, 
49,0,0, 
52,0,3, 
62,0,2,2
72,0,4, 
77,0,1,2
80,0,1, 
90,0, ,1
94,0, ,1
100,0,0, 
105,0,0, 
113,0,1, 
131,0,0, 
132,0,1, 
136,0,6, 
145,0,5, 
147,0, ,1
154,0,1, 
168,0,4,2
170,0,3, 
175,0,1, 
176,0,2, 
178,0, ,1
180,0,2, 
186,0, ,1
189,0,5, 
223,0, ,1
1,0,0, 
14,0, ,1
19,0,2, 
21,0,3, 
30,0,5, 
35,0,3, 
36,0,2, 
53,0,4, 
58,0,6, 
59,0,1, 
73,0,4, 
85,0,0, 
86,0, ,1
91,0,0, 
111,0,7, 
118,0,4, 
125,0,3, 
129,0, ,1
152,0, ,1
158,0,1, 
169,0,0, 
192,0,3, 
208,0, ,1
209,0,2, 
211,0, ,1
215,0, ,1
218,0, ,1
220,0,2, 
221,0,2, 
224,0, ,1
247,0, ,1
254,0,3, 
264,0, ,1
273,0, ,1
278,0,1, 
279,0,2, 
289,0,3, 
291,0,0, 
295,0,2, 
299,0, ,1
316,0,4, 
317,0,0, 
331,0,3, 
340,0,13, 
343,0, ,1
365,0,0, 
396,0, ,1
399,0,3, 
401,0,2, 
405,0,2, 
413,0, ,1
417,0, ,1
434,0,2,2
437,0, ,1
445,0,2, 
451,0,4, 
455,0,0, 
464,0,2, 
467,0,2,2
471,0,1, 
474,0,1, 
475,0,0, 
235,0, ,1
236,0,3, 
243,0,1, 
248,0,6, 
249,0,4, 
257,0,2, 
272,0,1, 
274,0,1,2
280,0, ,1
282,0, ,1
284,0,1,2
292,0,2, 
294,0,1, 
303,0,5, 
322,0, ,1
323,0,4, 
328,0,2, 
329,0,4, 
344,0,1, 
350,0, ,1
357,0,3, 
361,0, ,1
366,0,5, 
371,0,1, 
374,0, ,1
375,0,0, 
383,0, ,1
390,0,4, 
397,0,4, 
414,0,1, 
415,0,2, 
421,0,4,2
429,0,5, 
480,0,2, 
482,0,3,2
483,0,6, 
486,0,1, 
489,0, ,1
492,0,3, 
496,0,2, 
498,0, ,1
505,0, ,1
513,0,3, 
522,0,1, 
523,0, ,1
529,0,1,2
531,0,1, 
537,1, ,1
541,1,1, 
547,0, ,1
561,0,3, 
567,0, ,1
583,0,1, 
612,0,2, 
616,0,1, 
620,0,3, 
626,0, ,1
629,0, ,1
630,0,4, 
632,0,5, 
636,0, ,1
653,0, ,1
655,0,9, 
665,0,1, 
670,0, ,1
675,0, ,1
676,0,1, 
435,0,4, 
436,0,2,2
448,0,1, 
458,1,3, 
460,1,3, 
466,0,1, 
470,0, ,1
476,0,2, 
485,0, ,1
501,0,3, 
503,0,0, 
514,0, ,1
519,0,0, 
528,0, ,1
530,0,0, 
535,1, ,1
540,1,3, 
545,0, ,1
546,0, ,1
559,0,3, 
566,0,2, 
571,0,1, 
574,0,1, 
578,0,1, 
579,0,4, 
584,0,4,2
591,0,1, 
595,0, ,1
609,0, ,1
615,0, ,1
625,0,1, 
627,0,1, 
635,0,1, 
642,0,5, 
